,price,price_meter,surface,rooms,floor,max_floors,market,building_type,year_of_construction,lat,lon,rent
262,470000,7580.65,62,3,3,4,secondary,block of flats,1993,52.23338,20.95718,400
263,769000,12206.35,63,2,3,4,secondary,apartment building,2008,52.19832,21.01715,500
264,550000,11354.25,48.44,2,4,6,secondary,apartment building,2018,52.180677,21.0221861,450
265,450000,8653.85,52,2,3,4,secondary,block of flats,1952,52.20997,20.96727,493
266,9e+05,12000,75,2,4,4,secondary,tenement house,1937,52.207227,21.0086865,600
267,360000,6101.69,59,3,6,14,secondary,block of flats,1979,52.2247096,21.0952054,500
268,1290000,13030.3,99,2,3,3,secondary,apartment building,2008,52.1560638,21.0545345,1200
269,579000,9650,60,3,2,10,secondary,tenement house,2017,52.19832,21.01715,1000
270,1350000,10000,135,5,1,17,secondary,apartment building,2015,52.29332,20.92866,400
271,760000,19000,40,2,1,3,secondary,tenement house,2007,52.23313,21.019,545
272,185000,6166.67,30,1,2,3,secondary,tenement house,1960,52.19512,20.88379,260
273,1190000,13076.92,91,3,4,5,secondary,apartment building,2011,52.19832,21.01715,802
274,355000,8255.81,43,2,1,2,secondary,block of flats,2015,52.32899,21.00768,324
275,480000,8275.86,58,3,5,5,secondary,block of flats,2010,52.29332,20.92866,574
276,1600000,14545.45,110,4,4,5,secondary,tenement house,1928,52.2220488,21.0256881,370
277,990000,6971.83,142,4,5,5,secondary,apartment building,2008,52.2633,21.02832,1000
278,372000,10333.33,36,1,1,4,secondary,apartment building,2010,52.23338,20.95718,350
279,760000,14074.07,54,2,7,11,secondary,apartment building,2016,52.23338,20.95718,370
280,610000,7261.9,84,3,3,4,secondary,block of flats,1992,52.24168,21.08406,670
281,515000,9716.98,53,2,1,3,secondary,block of flats,2008,52.24091,20.91133,600
282,999000,16112.9,62,2,2,5,secondary,tenement house,1914,52.23313,21.019,1083
283,630000,7682.93,82,4,3,4,secondary,block of flats,1980,52.13785,21.02912,700
284,677000,8462.5,80,3,1,3,secondary,block of flats,2000,52.29332,20.92866,500
285,460000,6571.43,70,4,4,4,secondary,block of flats,2018,52.13785,21.02912,420
286,450000,7758.62,58,2,2,4,secondary,block of flats,1995,52.2633,21.02832,600
287,495000,11250,44,2,2,4,secondary,tenement house,2002,52.26971,20.98462,415
288,1350000,12980.77,104,4,3,3,secondary,tenement house,1930,52.19832,21.01715,920
289,699000,7132.65,98,3,4,5,secondary,block of flats,1997,52.202605,20.978115,940
290,378000,8590.91,44,3,8,10,secondary,block of flats,1975,52.2463981,20.9786645,600
291,1275000,10039.37,127,5,3,3,secondary,apartment building,2006,52.13785,21.02912,800
292,358000,8950,40,2,1,7,secondary,block of flats,2011,52.19512,20.88379,550
293,825000,10060.98,82,3,10,15,secondary,apartment building,2011,52.19832,21.01715,700
294,409000,8019.61,51,2,4,7,secondary,block of flats,2003,52.23338,20.95718,600
295,506000,8031.75,63,3,2,4,secondary,block of flats,1974,52.1786362,21.0585005,600
296,2350000,11032.86,213,5,6,7,secondary,apartment building,2017,52.2027304,21.013282,350
297,2e+05,10000,20,1,3,5,primary,apartment building,2007,52.2333751,20.9571835,350
298,2340000,18000,130,4,3,7,secondary,apartment building,2010,52.2089255,21.0025823,1000
299,455000,10111.11,45,2,3,8,secondary,tenement house,1955,52.24928,20.9986,550
300,2340000,18000,130,4,3,7,secondary,apartment building,2010,52.2089703,21.0028606,1400
301,295000,7972.97,37,2,7,10,secondary,block of flats,1974,52.2925973,20.9394164,820
302,385000,8020.83,48,3,3,4,secondary,block of flats,1980,52.1972,20.96441,400
303,1099000,6868.75,160,5,3,4,secondary,apartment building,2000,52.22322,21.07481,480
304,330000,6496.06,50.8,2,2,3,secondary,block of flats,1953,52.18274,20.9747,577
305,350000,6911.53,50.64,2,3,9,secondary,apartment building,2012,52.2069706,20.8669993999999,1100
306,510000,10625,48,3,3,3,secondary,block of flats,1970,52.2666924,20.97863,250
307,215000,7049.18,30.5,1,2,5,secondary,tenement house,1980,52.2391672,20.9732656,497
308,439000,8780,50,3,8,9,secondary,block of flats,1970,52.2477590544015,20.9882801343628,710
309,1664550,13500,123.3,4,5,5,secondary,apartment building,2015,52.1855194,20.9951574,1200
310,269000,8677.42,31,2,3,10,secondary,block of flats,1975,52.1755609485598,21.0633829385926,350
311,439000,7981.82,55,2,1,5,secondary,block of flats,1950,52.2606589,21.0281321,460
